elapsed_sec,throughput_eps,completed_so_far,errors_so_far,archives,queries,total_backlog
18.27815294265747,0.0,0,0,6,0,6
20.279050588607788,0.49977568918826654,1,0,7,0,7
22.279918670654297,0.0,1,0,11,0,11
24.281175136566162,0.49968608073646054,2,0,14,0,14
26.282614946365356,2.997841838971907,8,0,11,0,11
28.283597230911255,1.4992636482440513,11,0,16,0,16
30.28480339050293,0.9993972836901917,13,0,15,0,15
32.28568506240845,2.4988983957448645,18,0,14,0,14
34.2872052192688,0.4996202494251329,19,0,20,0,20
36.28773283958435,0.9997362594196683,21,0,19,0,19
38.28854155540466,1.9991916110581507,25,0,19,0,19
40.28913426399231,2.499259333765061,30,0,19,0,19
42.29010081291199,1.4992754384723226,33,0,19,0,19
44.290971755981445,0.9995647180181837,35,0,22,0,22
46.293025970458984,1.9979478932561523,39,0,22,0,22
48.31754446029663,0.4939446120248542,40,0,24,0,24
50.31890320777893,1.9986421749883583,44,0,23,0,23
52.32026219367981,0.9993209684467141,46,0,23,0,23
54.32108020782471,2.498977900364858,51,0,20,0,20
56.32147932052612,0.4999002417320419,52,0,27,0,27
58.322028160095215,2.499314138752531,57,0,24,0,24
60.32423162460327,1.4983492203361575,60,0,24,0,24
62.32591390609741,0.9991595661760642,62,0,25,0,25
64.32647681236267,1.4995779390914208,65,0,27,0,27
66.32759642601013,1.9988810127692265,69,0,27,0,27
68.32814764976501,0.49986223203176766,70,0,28,0,28
70.32901287078857,2.4989189413978656,75,0,27,0,27
72.3300724029541,0.9994705144207375,77,0,32,0,32
74.3309760093689,0.9995484008265576,79,0,34,0,34
76.33136439323425,1.4997087686557602,82,0,33,0,33
78.33180713653564,2.4994466933596646,87,0,32,0,32
80.33252000808716,1.4994655368381564,90,0,31,0,31
82.33337664604187,1.4993577966018687,93,0,31,0,31
84.3355085849762,1.9978703312275605,97,0,31,0,31
86.33840084075928,1.4978339405616576,100,0,29,0,29
88.33888173103333,2.9992788379888267,106,0,27,0,27
90.33935570716858,0.9997630680824103,108,0,28,0,28
92.41041350364685,0.4828450474440883,109,0,32,0,32
94.41073369979858,1.4997598913271364,112,0,33,0,33
96.41126871109009,0.0,112,0,34,0,34
98.41208219528198,0.0,112,0,35,0,35
100.5105984210968,0.0,112,0,36,0,36
102.51164841651917,0.0,112,0,37,0,37
104.51550221443176,0.0,112,0,38,0,38
106.5192039012909,0.49907628793162984,113,0,37,0,37
108.52187776565552,2.9959945584567675,119,0,35,0,35
110.52733421325684,0.0,119,0,36,0,36
112.61054468154907,0.0,119,0,36,0,36
114.61172866821289,0.49970417845842546,120,0,36,0,36
116.81510138511658,0.0,120,0,38,0,38
118.81696939468384,0.0,120,0,40,0,40
120.91398620605469,0.0,120,0,41,0,41
122.91637182235718,0.49940430647247275,121,0,40,0,40
124.91938352584839,0.0,121,0,40,0,40
127.0105812549591,1.9127794298538192,125,0,41,0,41
129.01140928268433,2.9987584724217986,131,0,42,0,42
131.01655054092407,0.0,131,0,43,0,43
133.11065554618835,0.0,131,0,44,0,44
135.2185995578766,0.0,131,0,44,0,44
137.41371703147888,0.4555564848012217,132,0,44,0,44
139.61758637428284,0.0,132,0,44,0,44
141.620947599411,0.0,132,0,44,0,44
143.71915578842163,0.0,132,0,44,0,44
146.01388669013977,0.0,132,0,44,0,44
148.41913557052612,0.41575739132632755,133,0,43,0,43
150.86370468139648,0.0,133,0,43,0,43
152.91066884994507,0.0,133,0,43,0,43
154.91361832618713,0.998527433528878,135,0,43,0,43
156.915789604187,2.996746615001819,141,0,43,0,43
158.9165599346161,3.4986524407820503,148,0,41,0,41
161.01356625556946,0.9537405681689759,150,0,40,0,40
163.11173295974731,0.0,150,0,40,0,40
165.11359977722168,0.0,150,0,40,0,40
167.11596393585205,0.0,150,0,40,0,40
169.21327209472656,0.47680165442956873,151,0,40,0,40
171.71306681632996,0.0,151,0,40,0,40
173.9108304977417,0.0,151,0,40,0,40
176.31094074249268,0.0,151,0,40,0,40
178.41363215446472,0.0,151,0,40,0,40
180.8138415813446,0.0,151,0,40,0,40
183.31055641174316,0.0,151,0,40,0,40
188.11666917800903,0.0,151,0,40,0,40
190.51998734474182,0.0,151,0,40,0,40
193.0155167579651,0.0,151,0,40,0,40
195.51787281036377,0.0,151,0,40,0,40
197.91382908821106,0.0,151,0,40,0,40
201.5142159461975,0.0,151,0,40,0,40
203.52098178863525,0.0,151,0,40,0,40
205.91091179847717,0.0,151,0,40,0,40
209.31204652786255,0.0,151,0,40,0,40
212.3195993900299,0.0,151,0,40,0,40
215.11609172821045,0.0,151,0,40,0,40
217.13331723213196,0.0,151,0,40,0,40
219.21578812599182,0.9603975766945758,153,0,39,0,39
221.22787404060364,0.4969966703399571,154,0,39,0,39
223.2315263748169,1.996354323401429,158,0,37,0,37
225.3214554786682,2.3924256525190293,163,0,34,0,34
227.4109401702881,0.47858689944492966,164,0,34,0,34
229.41721653938293,0.4984358164230185,165,0,34,0,34
231.71253395080566,0.0,165,0,34,0,34
234.61630129814148,0.6887604138930018,167,0,33,0,33
237.01192569732666,0.0,167,0,33,0,33
240.32636213302612,0.3017104172610161,168,0,32,0,32
242.5136170387268,0.0,168,0,32,0,32
245.21666383743286,0.0,168,0,32,0,32
247.61085438728333,0.0,168,0,32,0,32
250.31209778785706,0.0,168,0,32,0,32
253.21072220802307,0.0,168,0,32,0,32
255.71536326408386,0.0,168,0,32,0,32
258.3175747394562,0.0,168,0,32,0,32
260.71392011642456,0.0,168,0,32,0,32
266.01930928230286,0.0,168,0,32,0,32
269.33714294433594,0.0,168,0,32,0,32
271.6121129989624,0.0,168,0,32,0,32
273.9826910495758,0.0,168,0,32,0,32
276.01682209968567,1.4748312306810174,171,0,32,0,32
278.1135849952698,0.47692564672240856,172,0,32,0,32
280.21095085144043,0.0,172,0,32,0,32
282.51418709754944,0.0,172,0,32,0,32
284.9127790927887,0.0,172,0,32,0,32
287.41064977645874,0.0,172,0,32,0,32
291.51786756515503,0.0,172,0,32,0,32
294.2107779979706,0.0,172,0,32,0,32
298.4209704399109,0.0,172,0,32,0,32
300.5203609466553,0.0,172,0,32,0,32
302.5243344306946,0.0,172,0,32,0,32
304.5274889469147,0.4992126128577327,173,0,32,0,32
306.61423349380493,2.396076705915527,178,0,30,0,30
309.1115598678589,0.8008564762615964,180,0,30,0,30
312.113627910614,0.0,180,0,30,0,30
315.11124753952026,0.0,180,0,30,0,30
317.21715903282166,0.0,180,0,30,0,30
321.111492395401,0.0,180,0,30,0,30
323.22098445892334,0.0,180,0,30,0,30
326.31497406959534,0.32320729085538386,181,0,29,0,29
329.21078848838806,0.3453259965522596,182,0,28,0,28
331.8155641555786,0.0,182,0,29,0,29
334.71046900749207,0.0,182,0,29,0,29
337.71080708503723,0.0,182,0,29,0,29
340.11957931518555,0.0,182,0,29,0,29
344.71669721603394,0.0,182,0,29,0,29
348.6166126728058,0.0,182,0,29,0,29
352.226172208786,0.0,182,0,29,0,29
354.44304299354553,0.9021725640256264,184,0,28,0,28
356.51514291763306,1.9304088347773338,188,0,26,0,26
358.51759576797485,0.0,188,0,26,0,26
360.71056604385376,0.0,188,0,26,0,26
362.7125732898712,0.0,188,0,26,0,26
365.5156433582306,0.0,188,0,26,0,26
367.8153142929077,0.0,188,0,26,0,26
370.01808428764343,0.0,188,0,26,0,26
374.2255229949951,0.0,188,0,26,0,26
378.31654500961304,0.0,188,0,26,0,26
381.8177411556244,0.0,188,0,26,0,26
384.0160126686096,0.0,188,0,26,0,26
386.2208034992218,0.0,188,0,26,0,26
388.3105900287628,0.0,188,0,26,0,26
390.4299099445343,0.471849479900714,189,0,25,0,25
392.8135313987732,0.0,189,0,25,0,25
394.9132704734802,0.0,189,0,25,0,25
397.4129457473755,0.0,189,0,25,0,25
399.91093945503235,0.0,189,0,25,0,25
402.112916469574,0.0,189,0,25,0,25
404.9127519130707,0.0,189,0,25,0,25
407.2117817401886,0.0,189,0,25,0,25
412.41606187820435,0.0,189,0,25,0,25
415.01256251335144,0.0,189,0,25,0,25
417.7106235027313,0.0,189,0,25,0,25
420.2134759426117,0.0,189,0,25,0,25
424.5138809680939,0.0,189,0,25,0,25
427.83494806289673,0.0,189,0,25,0,25
430.02462220191956,0.0,189,0,25,0,25
432.02807331085205,0.0,189,0,25,0,25
434.11476588249207,0.9584545549170765,191,0,25,0,25
436.1167845726013,1.4984875090433276,194,0,25,0,25
438.2122714519501,1.9088642546132948,198,0,22,0,22
440.3130552768707,0.4760128044292085,199,0,22,0,22
442.4169282913208,0.0,199,0,22,0,22
444.6159420013428,0.4547493248643766,200,0,21,0,21
446.81306648254395,0.4551403475570479,201,0,21,0,21
449.2140338420868,0.41649878996705886,202,0,21,0,21
451.8168189525604,0.0,202,0,21,0,21
454.212708234787,0.0,202,0,21,0,21
458.0165362358093,0.2628930644948284,203,0,21,0,21
461.21356105804443,0.0,203,0,21,0,21
463.6139039993286,0.0,203,0,21,0,21
466.41193652153015,0.0,203,0,21,0,21
468.6186912059784,0.0,203,0,21,0,21
475.56665658950806,0.0,203,0,21,0,21
477.63332080841064,0.0,203,0,21,0,21
479.7241814136505,0.9565439202344891,205,0,20,0,20
481.81257033348083,1.9153520505773383,209,0,18,0,18
484.11358284950256,0.0,209,0,18,0,18
486.31493282318115,0.0,209,0,18,0,18
488.9136874675751,0.0,209,0,18,0,18
491.21857166290283,0.0,209,0,18,0,18
493.71141743659973,0.0,209,0,18,0,18
495.81077313423157,0.0,209,0,18,0,18
497.912385225296,0.0,209,0,18,0,18
499.9150857925415,0.49932576859225697,210,0,18,0,18
502.01058316230774,0.0,210,0,18,0,18
504.11051630973816,0.0,210,0,18,0,18
506.21317291259766,0.0,210,0,18,0,18
508.21985244750977,0.0,210,0,18,0,18
510.51591205596924,0.0,210,0,18,0,18
512.5177164077759,0.9990986372844018,212,0,17,0,17
515.0128996372223,0.4007721710368593,213,0,16,0,16
517.5155565738678,0.39957534145306084,214,0,15,0,15
519.6145119667053,0.0,214,0,15,0,15
521.720278263092,0.0,214,0,15,0,15
523.81964802742,0.0,214,0,15,0,15
525.9174981117249,0.0,214,0,15,0,15
528.1146237850189,0.0,214,0,15,0,15
530.1197195053101,0.0,214,0,15,0,15
532.3105552196503,0.0,214,0,15,0,15
534.5109167098999,0.4544707787476088,215,0,14,0,14
536.6104865074158,0.0,215,0,14,0,14
539.3202428817749,0.0,215,0,14,0,14
541.6125428676605,0.0,215,0,14,0,14
543.7106420993805,0.0,215,0,14,0,14
545.8185119628906,0.0,215,0,14,0,14
548.3108723163605,0.0,215,0,14,0,14
550.3168520927429,0.0,215,0,14,0,14
552.3321416378021,1.4886198399406014,218,0,11,0,11
554.4125123023987,2.8841014258214264,224,0,8,0,8
556.4145970344543,0.0,224,0,8,0,8
558.5127084255219,0.0,224,0,8,0,8
560.5173363685608,0.0,224,0,8,0,8
562.6105854511261,0.0,224,0,8,0,8
564.9147796630859,0.0,224,0,8,0,8
567.1106946468353,0.0,224,0,8,0,8
569.6105997562408,0.0,224,0,8,0,8
571.7106559276581,0.0,224,0,8,0,8
574.1136400699615,0.0,224,0,8,0,8
576.517541885376,0.0,224,0,8,0,8
578.6145222187042,0.0,224,0,8,0,8
581.0115633010864,0.0,224,0,8,0,8
583.4155328273773,0.0,224,0,8,0,8
586.11785197258,0.0,224,0,8,0,8
590.5120096206665,0.0,224,0,8,0,8
593.3112812042236,0.0,224,0,8,0,8
596.1170926094055,0.0,224,0,8,0,8
599.8178057670593,0.0,224,0,8,0,8
603.9524104595184,0.0,224,0,8,0,8
606.0104956626892,0.0,224,0,8,0,8
608.0132563114166,1.9972431566106803,228,0,6,0,6
610.0143573284149,1.4991746915905755,231,0,5,0,5
612.0165734291077,0.0,231,0,5,0,5
614.0187983512878,0.0,231,0,5,0,5
616.1106863021851,0.0,231,0,5,0,5
618.1197423934937,0.0,231,0,5,0,5
620.2203781604767,0.0,231,0,5,0,5
622.2219657897949,0.9992068149827754,233,0,3,0,3
624.2229733467102,0.9994964752073019,235,0,2,0,2
626.2255456447601,0.0,235,0,2,0,2
628.2280540466309,0.0,235,0,2,0,2
630.2304036617279,0.0,235,0,2,0,2
632.2335958480835,0.49920322513802373,236,0,2,0,2
634.2358326911926,0.0,236,0,2,0,2
636.2362902164459,0.0,236,0,2,0,2
638.2385263442993,0.0,236,0,2,0,2
640.240526676178,0.0,236,0,2,0,2
642.2427325248718,0.0,236,0,2,0,2
644.2445340156555,0.9991000652202601,238,0,1,0,1
646.2466135025024,0.0,238,0,1,0,1
648.2489237785339,0.0,238,0,1,0,1
650.2513480186462,0.0,238,0,1,0,1
652.2537047863007,0.4994115015634352,239,0,1,0,1
654.2547662258148,0.4997347808784877,240,0,1,0,1
656.2570390701294,0.0,240,0,1,0,1
658.2592697143555,0.0,240,0,1,0,1
660.2615251541138,0.0,240,0,1,0,1
662.2637014389038,0.0,240,0,1,0,1
664.2643423080444,0.0,240,0,1,0,1
666.2661986351013,0.49953634858011664,241,0,0,0,0
668.2687830924988,0.0,241,0,0,0,0
